Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
07/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
10/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
11/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
12/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
13/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
14/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
17/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
18/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
19/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
20/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
21/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
24/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
25/04/2017,0,0,10.4(0.00 %),0,0,0,0,2829064,0.0
26/04/2017,0,0,6.3(-39.42 %),0,0,0,0,2829064,0.0
27/04/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
28/04/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
03/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
04/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
05/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
08/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
09/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
10/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
11/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
12/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
15/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
16/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
17/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
18/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
19/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
22/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
23/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
24/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
25/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
26/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
29/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
30/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
31/05/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
01/06/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
02/06/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
05/06/2017,0,0,6.3(0.00 %),0,0,0,0,2829064,0.0
06/06/2017,0,0,5.4(-14.29 %),0,0,0,0,2829064,0.0
07/06/2017,0,0,5.4(0.00 %),0,0,0,0,2829064,0.0
