Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/03/2016,0,0,0(0.00 %),0,0,0,0,4037600,0.0
03/03/2016,0,0,0(0.00 %),0,0,0,0,4037600,0.0
04/03/2016,0,0,0(0.00 %),0,0,0,0,4037600,0.0
07/03/2016,0,0,0(0.00 %),0,0,0,0,4037600,0.0
08/03/2016,0,0,0(0.00 %),0,0,0,0,4037600,0.0
10/03/2016,0,0,0(0.00 %),0,0,0,0,4037600,0.0
11/03/2016,0,0,0(0.00 %),0,0,0,0,4037600,0.0
14/03/2016,0,0,0(0.00 %),0,0,0,0,4037600,0.0
15/03/2016,200,4100000,0(0.00 %),200,4100000,0,0,4037400,0.0
16/03/2016,0,0,0(0.00 %),0,0,0,0,4037400,0.0
17/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
18/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
21/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
22/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
23/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
24/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
25/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
28/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
29/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
30/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
31/03/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
01/04/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
04/04/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
05/04/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
06/04/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
07/04/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
08/04/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
11/04/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
12/04/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
13/04/2016,0,0,20.5(0.00 %),0,0,0,0,4037400,0.0
14/04/2016,0,0,18.5(-9.76 %),0,0,0,0,4037400,0.0
15/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
19/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
20/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
21/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
22/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
25/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
26/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
27/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
28/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
29/04/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
04/05/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
05/05/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
06/05/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
09/05/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
10/05/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
11/05/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
12/05/2016,0,0,18.5(0.00 %),0,0,0,0,4037400,0.0
13/05/2016,0,0,18(-2.70 %),0,0,0,0,4037400,0.0
16/05/2016,0,0,18(7.78 %),0,0,0,0,4037400,0.0
