Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
23/12/2009,0,0,0(0.00 %),0,0,0,0,2284552,0.0
24/12/2009,0,0,0(0.00 %),0,0,0,0,2284552,0.0
25/12/2009,0,0,0(0.00 %),0,0,0,0,2284552,0.0
28/12/2009,0,0,0(0.00 %),0,0,0,0,2284552,0.0
29/12/2009,0,0,0(0.00 %),0,0,0,0,2284552,0.0
30/12/2009,0,0,0(0.00 %),0,0,0,0,2284552,0.0
31/12/2009,0,0,0(0.00 %),0,0,0,0,2284552,0.0
04/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
05/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
06/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
07/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
08/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
11/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
12/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
13/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
14/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
15/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
18/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
19/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
20/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
21/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
22/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
25/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
26/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
27/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
28/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
29/01/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
01/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
02/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
03/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
04/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
05/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
08/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
09/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
10/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
11/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
12/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
22/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
23/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
24/02/2010,0,0,0(0.00 %),0,0,0,0,2284552,0.0
