Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
06/05/2010,0,0,0(0.00 %),0,0,0,0,2401000,0.0
07/05/2010,0,0,0(0.00 %),0,0,0,0,2401000,0.0
10/05/2010,0,0,0(0.00 %),0,0,0,0,2401000,0.0
11/05/2010,0,0,11(5.77 %),0,0,0,0,2401000,0.0
12/05/2010,0,0,11(0.00 %),0,0,0,0,2401000,0.0
13/05/2010,0,0,11(0.00 %),0,0,0,0,2401000,0.0
14/05/2010,0,0,11(0.00 %),0,0,0,0,2401000,0.0
17/05/2010,0,0,12.1(0.00 %),0,0,0,0,2401000,0.0
18/05/2010,0,0,12.1(0.00 %),0,0,0,0,2401000,0.0
19/05/2010,0,0,12.1(0.00 %),0,0,0,0,2401000,0.0
20/05/2010,0,0,12.1(0.00 %),0,0,0,0,2401000,0.0
21/05/2010,0,0,12.1(0.00 %),0,0,0,0,2401000,0.0
24/05/2010,0,0,10.9(-9.92 %),0,0,0,0,2401000,0.0
25/05/2010,0,0,10.9(0.00 %),0,0,0,0,2401000,0.0
26/05/2010,0,0,10.9(0.00 %),0,0,0,0,2401000,0.0
27/05/2010,0,0,10.9(0.00 %),0,0,0,0,2401000,0.0
28/05/2010,0,0,10.9(0.00 %),0,0,0,0,2401000,0.0
31/05/2010,0,0,10.9(0.00 %),0,0,0,0,2401000,0.0
01/06/2010,0,0,10.9(0.00 %),0,0,0,0,2401000,0.0
02/06/2010,0,0,10.9(0.00 %),0,0,0,0,2401000,0.0
03/06/2010,0,0,10.5(-3.67 %),0,0,0,0,2401000,0.0
04/06/2010,0,0,10.5(0.00 %),0,0,0,0,2401000,0.0
07/06/2010,0,0,10.5(0.00 %),0,0,0,0,2401000,0.0
08/06/2010,0,0,10.5(0.00 %),0,0,0,0,2401000,0.0
09/06/2010,0,0,9.5(0.00 %),0,0,0,0,2401000,0.0
10/06/2010,0,0,9.5(0.00 %),0,0,0,0,2401000,0.0
11/06/2010,0,0,9.9(4.21 %),0,0,0,0,2401000,0.0
14/06/2010,0,0,9.9(0.00 %),0,0,0,0,2401000,0.0
15/06/2010,0,0,9.9(0.00 %),0,0,0,0,2401000,0.0
16/06/2010,0,0,9.9(0.00 %),0,0,0,0,2401000,0.0
17/06/2010,0,0,9.9(0.00 %),0,0,0,0,2401000,0.0
18/06/2010,0,0,9.9(0.00 %),0,0,0,0,2401000,0.0
21/06/2010,0,0,9.9(0.00 %),0,0,0,0,2401000,0.0
22/06/2010,0,0,9(-9.09 %),0,0,0,0,2401000,0.0
23/06/2010,0,0,9.9(10.00 %),0,0,0,0,2401000,0.0
24/06/2010,0,0,10.1(2.02 %),0,0,0,0,2401000,0.0
25/06/2010,0,0,10(1.01 %),0,0,0,0,2401000,0.0
